Timestamp,GSR Value (uS)
2025-05-23 11:15:12.349,-0.24
2025-05-23 11:15:12.530,-0.19
2025-05-23 11:15:12.649,-0.24
2025-05-23 11:15:12.829,-0.24
2025-05-23 11:15:13.009,-0.24
2025-05-23 11:15:13.129,-0.24
2025-05-23 11:15:13.308,-0.24
2025-05-23 11:15:13.429,-0.29
2025-05-23 11:15:13.609,-0.24
2025-05-23 11:15:13.729,-0.24
2025-05-23 11:15:13.909,-0.24
2025-05-23 11:15:14.029,-0.24
2025-05-23 11:15:14.209,-0.24
2025-05-23 11:15:14.328,-0.24
2025-05-23 11:15:14.510,-0.24
2025-05-23 11:15:14.689,-0.24
2025-05-23 11:15:14.808,-0.24
2025-05-23 11:15:14.989,-0.24
2025-05-23 11:15:15.109,-0.24
2025-05-23 11:15:15.289,-0.24
2025-05-23 11:15:15.409,-0.24
2025-05-23 11:15:15.589,-0.24
2025-05-23 11:15:15.709,-0.24
2025-05-23 11:15:15.888,-0.24
2025-05-23 11:15:16.070,-0.24
2025-05-23 11:15:16.190,-0.24
2025-05-23 11:15:16.368,-0.24
2025-05-23 11:15:16.489,-0.24
2025-05-23 11:15:16.670,-0.24
2025-05-23 11:15:16.790,-0.24
2025-05-23 11:15:16.968,-0.24
2025-05-23 11:15:17.089,-0.24
2025-05-23 11:15:17.269,-0.24
2025-05-23 11:15:17.448,-0.24
2025-05-23 11:15:17.570,-0.24
2025-05-23 11:15:17.750,-0.24
2025-05-23 11:15:17.870,-0.24
2025-05-23 11:15:18.048,-0.24
2025-05-23 11:15:18.170,-0.24
2025-05-23 11:15:18.348,-0.24
2025-05-23 11:15:18.468,-0.24
2025-05-23 11:15:18.650,-0.24
2025-05-23 11:15:18.769,-0.24
2025-05-23 11:15:18.948,-0.24
2025-05-23 11:15:19.068,-0.24
2025-05-23 11:15:19.249,-0.24
2025-05-23 11:15:19.370,-0.24
2025-05-23 11:15:19.549,-0.24
2025-05-23 11:15:19.729,-0.24
2025-05-23 11:15:19.850,-0.24
2025-05-23 11:15:20.028,-0.19
2025-05-23 11:15:20.149,-0.24
2025-05-23 11:15:20.329,-0.24
2025-05-23 11:15:20.448,-0.29
2025-05-23 11:15:20.629,-0.24
2025-05-23 11:15:20.749,-0.24
2025-05-23 11:15:20.929,-0.24
2025-05-23 11:15:21.109,-0.24
2025-05-23 11:15:21.229,-0.24
2025-05-23 11:15:21.409,-0.24
2025-05-23 11:15:21.528,-0.24
2025-05-23 11:15:21.710,-0.24
2025-05-23 11:15:21.828,-0.24
2025-05-23 11:15:22.008,-0.24
2025-05-23 11:15:22.129,-0.24
2025-05-23 11:15:22.309,-0.24
2025-05-23 11:15:22.488,-0.24
2025-05-23 11:15:22.609,-0.24
2025-05-23 11:15:22.788,-0.24
2025-05-23 11:15:22.909,-0.24
2025-05-23 11:15:23.088,-0.24
2025-05-23 11:15:23.209,-0.29
2025-05-23 11:15:23.388,-0.24
2025-05-23 11:15:23.508,-0.24
2025-05-23 11:15:23.688,-0.24
2025-05-23 11:15:23.809,-0.24
2025-05-23 11:15:23.988,-0.24
2025-05-23 11:15:24.169,-0.24
2025-05-23 11:15:24.289,-0.24
2025-05-23 11:15:24.470,-0.24
2025-05-23 11:15:24.588,-0.24
2025-05-23 11:15:24.769,-0.24
2025-05-23 11:15:24.889,-0.24
2025-05-23 11:15:25.069,-0.24
